Age,d14C
1635.3,-51.3
1637.3,-56.1
1639.3,-46.9
1641.3,-51.5
1643.3,-48
1645.3,-42.4
1647.3,-47.4
1649.3,-49.8
1651.3,-46.8
1653.3,-54.5
1655.3,-41.1
1657.3,-43.7
1659.3,-42.8
1663.3,-44.9
1665.3,-53.2
1667.3,-44.1
1669.3,-45.3
1671.3,-49.8
1673.3,-44.3
1675.3,-49.3
1677.3,-33.2
1679.3,-42.4
1681.3,-41.6
1683.3,-45.3
1685.3,-35
1687.3,-55
1689.3,-48
1691.3,-30.3
1693.3,-39
1695.3,-40
1697.3,-38.1
1699.3,-47
1703.3,-50.6
1705.3,-48.3
1707.3,-38.4
1709.3,-42.9
1711.3,-38.5
1713.3,-40.7
1715.3,-40.5
1719.3,-36.6
1721.3,-38.1
1723.3,-40.8
1725.3,-45.3
1727.3,-34.5
1729.3,-54.6
1731.3,-44.1
1735.3,-44.1
1737.3,-46.1
1741.3,-41.1
1743.3,-47.5
1747.3,-41.3
1749.3,-53.7
1751.3,-43.4
1753.3,-46.8
1755.3,-48.1
1757.3,-39
1759.3,-40.1
1761.3,-42.3
1763.3,-45.6
1767.3,-42.6
1769.3,-56
1771.3,-37.7
1773.3,-44.6
1775.3,-44.1
1777.3,-48.9
1779.3,-46.7
1783.3,-46.5
1785.3,-40.4
1787.3,-45.7
1789.3,-42.2
1791.3,-52.6
1793.3,-43.4
1795.3,-50.8
1797.3,-53.4
1799.3,-51.4
1801.3,-50.6
1803.3,-44.6
1805.3,-50.8
1807.3,-50.7
1809.3,-47.9
1811.3,-53.5
1813.3,-49.3
1815.3,-44.9
1817.3,-51.8
1819.3,-46.2
1821.3,-45.9
1823.3,-46.1
1825.3,-41.9
1827.3,-50.7
1829.3,-47.9
1831.3,-51.6
1833.3,-45.4
1835.3,-54
1837.3,-47.1
1839.3,-52.1
1841.3,-44.2
1843.3,-57.2
1845.3,-38.3
1847.3,-45.3
1849.3,-46.7
1851.3,-43
1853.3,-51.1
1855.3,-50.5
1857.3,-50.3
1861.3,-51.3
1863.3,-45.2
1865.3,-58.4
1867.3,-49.6
1869.3,-51.5
1871.3,-52.5
1873.3,-53.5
1875.3,-51
1877.3,-44.9
1879.3,-49.4
1881.3,-43.6
1883.3,-51.3
1885.3,-51
1887.3,-49
1889.3,-49
1891.3,-44.6
1893.3,-43.7
1895.3,-49.6
1897.3,-48
1899.3,-43.6
1901.3,-46.2
1903.3,-47.1
1905.3,-53.2
1907.3,-46.8
1909.3,-55.8
1911.3,-52
1913.3,-50.4
1915.3,-51.5
1917.3,-53.7
1919.3,-46.6
1921.3,-50.2
1923.3,-46.4
1925.3,-53.3
1927.3,-54.6
1929.3,-52
1931.3,-49.5
1933.3,-47.5
1935.3,-50.4
1937.3,-53.8
1939.3,-53.6
1941.3,-44.1
1943.3,-49.1
1945.3,-54.1
1947.3,-48.7
1948.3,-49
1949.3,-48.2
1950.3,-52.2
1951.3,-55.4
1952.3,-56.3
1953.3,-56.5
1954.3,-52.1
1955.3,-53
1956.3,-52.5
1957.3,-51.2
1958.3,-44.2
1959.3,-43
1961.6,-13.7
1962.6,-13.7
1963.6,21
1964.6,43
1968.6,81.7
1978.3,122.2
1979.3,136.7
1980.3,131.7
1982.3,125.4
1983.3,132.2
