Age,d14C
1848.8,-49.4
1848.8,-47.8
1850.8,-52.7
1852.8,-51.3
1854.8,-56.1
1856.8,-48.6
1856.8,-53.3
1858.8,-48.5
1860.8,-51.6
1860.8,-46.8
1862.8,-44.5
1864.8,-49.6
1866.8,-51.5
1866.8,-50.5
1868.8,-53.7
1870.8,-50.4
1872.8,-51.3
1874.8,-47.9
1876.8,-44.4
1878.8,-45.9
1880.8,-51.7
1882.8,-47.3
1884.8,-49
1886.8,-49.1
1888.8,-47.5
1890.8,-49.9
1892.8,-55.5
1894.8,-49.5
1896.8,-48.5
1898.8,-42.7
1900.8,-48.2
1900.8,-51.7
1902.8,-46
1904.8,-53.9
1906.8,-49.9
1908.8,-47.6
1910.8,-41
1912.8,-49.1
1914.8,-47
1916.8,-48
1918.8,-46.6
1920.8,-54.9
1922.3,-45.5
1923.3,-46.6
1923.3,-47.1
1924.3,-57.8
1925.8,-52.9
1927.3,NA
1927.3,-52.2
1928.8,-52.7
1930.8,-46.9
1932.3,-55.5
1933.8,-46.7
1935.8,-41.2
1937.3,-55.9
1938.8,-48.1
1940.8,-52.8
1942.8,-49.4
1944.8,-45.3
1946.8,-54.8
1948.8,-53.9
1950.3,-52.4
1951.3,-47.5
1952.8,-44.9
1954.3,-47.7
1955.3,-56.3
1956.3,-44.8
1957.3,-37.9
1958.3,-39.4
1959.3,-32
1960.3,-28.8
1961.3,-21.1
1962.3,-29.2
1963.3,7.4
1964.3,20.8
1965.3,46.8
1966.3,67.6
1967.3,80.2
1968.3,97.7
1969.3,104.9
1970.3,109.4
1971.3,119.4
1972.3,116.7
1973.3,118.4
1974.3,133.4
1975.3,128.9
1976.3,145.6
1977.3,116
1978.3,139.7
1979.3,129.8
1980.3,156.1
1981.3,133.3
1983.3,132.6
