Age,d13C,d18O,Lumin,SrCa,Density,Distance
1979.12,-2.021,-5.143,0.612646,8.92392,1.52933,234
1979.21,-1.84167,-5.06167,0.627757,9.03482,1.52103,233.333
1979.29,-1.73767,-4.94367,0.623563,9.05879,1.53576,232.667
1979.38,-2.238,-4.616,0.613369,8.99583,1.51431,232
1979.46,-2.153,-4.37533,0.615816,9.1016,1.50636,231.333
1979.54,-2.06367,-4.22333,0.61067,9.16668,1.48741,230.667
1979.62,-1.965,-4.117,0.614189,9.19107,1.45167,230
1979.71,-1.556,-4.3965,0.600974,9.08289,1.4034,227.833
1979.79,-1.489,-4.45,0.612727,9.03009,1.43849,225.667
1979.88,-1.5085,-4.8495,0.642401,8.99129,1.47019,223.5
1979.96,-1.582,-4.905,0.60082,8.98236,1.47725,221.333
1980.04,-1.7185,-5.08,0.569193,8.98093,1.5275,219.167
1980.12,-1.901,-5.136,0.603264,8.95255,1.59855,217
1980.21,-1.978,-4.987,0.59642,8.96973,1.61298,216.167
1980.29,-1.712,-4.893,0.59539,8.99539,1.61838,215.333
1980.38,-1.819,-4.696,0.579447,9.04461,1.61373,214.5
1980.46,-1.886,-4.574,0.574192,9.08313,1.60128,213.667
1980.54,-1.745,-4.339,0.556432,9.09531,1.56914,212.833
1980.62,-1.786,-4.233,0.578711,9.15208,1.55008,212
1980.71,-1.8025,-4.403,0.613548,9.14684,1.48603,210.5
1980.79,-1.602,-4.554,0.604132,9.14235,1.47752,209
1980.88,-1.583,-4.675,0.586371,9.06095,1.49416,207.5
1980.96,-1.739,-4.852,0.685819,9.02952,1.5055,206
1981.04,-2.0845,-5.039,0.711486,8.97427,1.49979,204.5
1981.12,-2.161,-5.319,0.656127,8.92569,1.47292,203
1981.21,-1.929,-5.184,0.590991,8.9699,1.49566,201.167
1981.29,-1.802,-5.09,0.580531,8.96807,1.52601,199.333
1981.38,-2.071,-4.801,0.585592,8.9376,1.55065,197.5
1981.46,-1.909,-4.692,0.568404,9.01939,1.55893,195.667
1981.54,-2.079,-4.507,0.575128,9.03419,1.53666,193.833
1981.62,-1.681,-4.371,0.580424,9.12641,1.47147,192
1981.71,-1.623,-4.387,0.579535,9.06378,1.44498,189.5
1981.79,-1.697,-4.57,0.582229,9.05995,1.42141,187
1981.88,-1.742,-4.841,0.64469,8.98613,1.44198,184.5
1981.96,-1.977,-4.952,0.690726,8.91921,1.44149,182
1982.04,-1.968,-5.029,0.579367,8.92761,1.52545,179.5
1982.12,-1.89,-5.077,0.577093,8.8714,1.55893,177
1982.21,-1.988,-5.01,0.592117,8.93073,1.51599,175.333
1982.29,-1.985,-4.739,0.594455,9.00253,1.49803,173.667
1982.38,-2.022,-4.511,0.586073,9.08558,1.43636,172
1982.46,-1.933,-4.324,0.600236,9.16468,1.37895,170.333
1982.54,-1.9795,-4.138,0.566969,9.1493,1.31845,168.667
1982.62,-1.793,-3.98,0.568867,9.20214,1.32387,167
1982.71,-1.71167,-4.218,0.582284,9.11365,1.33085,165.167
