Age,Lumin,SrCa,Density,Distance
1990.88,0.655792,9.07602,1.49285,267
1990.96,0.617844,9.01997,1.54492,265.667
1991.04,0.574543,9.0081,1.5484,264.333
1991.12,0.554809,8.99869,1.54317,263
1991.21,0.523273,9.0421,1.52562,262.167
1991.29,0.495831,9.09591,1.51187,261.333
1991.38,0.493522,9.14012,1.48526,260.5
1991.46,0.511615,9.16849,1.49033,259.667
1991.54,0.508421,9.19297,1.50119,258.833
1991.62,0.530021,9.24813,1.53577,258
1991.71,0.589206,9.19098,1.55214,256.833
1991.79,0.595943,9.20234,1.55305,255.667
1991.88,0.563592,9.14513,1.49234,254.5
1991.96,0.558318,9.07588,1.49245,253.333
1992.04,0.565218,9.01543,1.48732,252.167
1992.12,0.606719,8.96445,1.48236,251
1992.21,0.605455,8.98673,1.49213,249.667
1992.29,0.590794,8.99906,1.47113,248.333
1992.38,0.579769,9.06423,1.46479,247
1992.46,0.602148,9.13436,1.46679,245.667
1992.54,0.600108,9.19912,1.48681,244.333
1992.62,0.605903,9.21899,1.47857,243
1992.71,0.741815,9.18902,1.49602,241.667
1992.79,0.765323,9.13658,1.48291,240.333
1992.88,0.605097,9.08491,1.4639,239
1992.96,0.575404,9.03093,1.4285,237.667
1993.04,0.606115,9.03163,1.44001,236.333
1993.12,0.602551,9.02084,1.40646,235
1993.21,0.617854,9.07156,1.37353,234
1993.29,0.635872,9.09769,1.34831,233
1993.38,0.617642,9.16269,1.35479,232
1993.46,0.607497,9.21766,1.38046,231
1993.54,0.602494,9.26872,1.39944,230
1993.62,0.588925,9.27015,1.4283,229
1993.71,0.571264,9.26585,1.45419,227.667
1993.79,0.559442,9.21642,1.43169,226.333
1993.88,0.550311,9.12639,1.42937,225
1993.96,0.57799,9.08195,1.4825,223.667
1994.04,0.628311,9.01834,1.49329,222.333
1994.12,0.557821,8.97381,1.45022,221
1994.21,0.533567,8.99954,1.41088,220
1994.29,0.559034,9.0643,1.36956,219
1994.38,0.569931,9.1102,1.33516,218
1994.46,0.555598,9.12904,1.34039,217
1994.54,0.53676,9.24624,1.34146,216
1994.62,0.505002,9.28722,1.36774,215
1994.71,0.532793,9.25406,1.40315,213.833
1994.79,0.601181,9.19197,1.3868,212.667
1994.88,0.631782,9.12823,1.37028,211.5
1994.96,0.579703,9.0718,1.35657,210.333
1995.04,0.530967,9.04285,1.36521,209.167
1995.12,0.534732,8.99839,1.3986,208
